CBAM Sector,HS 2-digit,HS 4-digit,HS 6-digit (text),CN 8-digit
Aluminium,76,7601,760110,76011000
Aluminium,76,7601,760120,76012020
Aluminium,76,7601,760120,76012080
Aluminium,76,7603,760310,76031000
Aluminium,76,7603,760320,76032000
Aluminium,76,7604,760410,76041010
Aluminium,76,7604,760410,76041090
Aluminium,76,7604,760421,76042100
Aluminium,76,7604,760429,76042910
Aluminium,76,7604,760429,76042990
Aluminium,76,7605,760511,76051100
Aluminium,76,7605,760519,76051900
Aluminium,76,7605,760521,76052100
Aluminium,76,7605,760529,76052900
Aluminium,76,7606,760611,76061110
Aluminium,76,7606,760611,76061191
Aluminium,76,7606,760611,76061193
Aluminium,76,7606,760611,76061199
Aluminium,76,7606,760612,76061211
Aluminium,76,7606,760612,76061219
Aluminium,76,7606,760612,76061220
Aluminium,76,7606,760612,76061292
Aluminium,76,7606,760612,76061293
Aluminium,76,7606,760612,76061299
Aluminium,76,7606,760691,76069100
Aluminium,76,7606,760692,76069200
Aluminium,76,7607,760711,76071111
Aluminium,76,7607,760711,76071119
Aluminium,76,7607,760711,76071190
Aluminium,76,7607,760719,76071910
Aluminium,76,7607,760719,76071990
Aluminium,76,7607,760720,76072010
Aluminium,76,7607,760720,76072090
Aluminium,76,7608,760810,76081000
Aluminium,76,7608,760820,76082020
Aluminium,76,7608,760820,76082081
Aluminium,76,7608,760820,76082089
Aluminium,76,7609,760900,76090000
Aluminium,76,7610,761010,76101000
Aluminium,76,7610,761090,76109090
Aluminium,76,7611,761100,76110000
Aluminium,76,7612,761210,76121000
Aluminium,76,7612,761290,76129020
Aluminium,76,7612,761290,76129030
Aluminium,76,7612,761290,76129080
Aluminium,76,7613,761300,76130000
Aluminium,76,7614,761410,76141000
Aluminium,76,7614,761490,76149000
Aluminium,76,7616,761610,76161000
Aluminium,76,7616,761691,76169100
Aluminium,76,7616,761699,76169910
Aluminium,76,7616,761699,76169990
Cement,25,2507,250700,25070080
Cement,25,2523,252310,25231000
Cement,25,2523,252321,25232100
Cement,25,2523,252329,25232900
Cement,25,2523,252330,25233000
Cement,25,2523,252390,25239000
Chemicals,28,2804,280410,28041000
Electricity,27,2716,271600,27160000
Fertilisers,28,2808,280800,28080000
Fertilisers,28,2814,281410,28141000
Fertilisers,28,2814,281420,28142000
